match_id,date,season,league_code,league,team,opponent,venue,is_home,goals_for,goals_against,goal_difference,result,points,win,draw,loss,scored,clean_sheet,over_2_5,btts,shots_for,shots_against,shots_on_target_for,shots_on_target_against,corners_for,corners_against,fouls_for,fouls_against,yellow_cards,opponent_yellow_cards,red_cards,opponent_red_cards,team_game_number
N1_20260110_Groningen_NACBreda,2026-01-10,2526,N1,Eredivisie,Groningen,NAC Breda,HOME,1,0,0,0,D,1,0,1,0,0,1,0,0,16.0,10.0,5.0,2.0,3.0,4.0,7.0,6.0,1.0,2.0,0.0,0.0,316
N1_20260110_Groningen_NACBreda,2026-01-10,2526,N1,Eredivisie,NAC Breda,Groningen,AWAY,0,0,0,0,D,1,0,1,0,0,1,0,0,10.0,16.0,2.0,5.0,4.0,3.0,6.0,7.0,2.0,1.0,0.0,0.0,120
N1_20260110_PSVEindhoven_Excelsior,2026-01-10,2526,N1,Eredivisie,PSV Eindhoven,Excelsior,HOME,1,5,1,4,W,3,1,0,0,1,0,1,1,16.0,8.0,8.0,3.0,6.0,4.0,10.0,7.0,1.0,1.0,0.0,0.0,350
N1_20260110_PSVEindhoven_Excelsior,2026-01-10,2526,N1,Eredivisie,Excelsior,PSV Eindhoven,AWAY,0,1,5,-4,L,0,0,0,1,1,0,1,1,8.0,16.0,3.0,8.0,4.0,6.0,7.0,10.0,1.0,1.0,0.0,0.0,221
N1_20260110_Twente_Zwolle,2026-01-10,2526,N1,Eredivisie,Twente,Zwolle,HOME,1,1,1,0,D,1,0,1,0,1,0,0,1,26.0,3.0,7.0,1.0,7.0,2.0,6.0,11.0,1.0,3.0,0.0,0.0,316
N1_20260110_Twente_Zwolle,2026-01-10,2526,N1,Eredivisie,Zwolle,Twente,AWAY,0,1,1,0,D,1,0,1,0,1,0,0,1,3.0,26.0,1.0,7.0,2.0,7.0,11.0,6.0,3.0,1.0,0.0,0.0,316
D1_20260111_BayernMunich_Wolfsburg,2026-01-11,2526,D1,Bundesliga,Bayern Munich,Wolfsburg,HOME,1,8,1,7,W,3,1,0,0,1,0,1,1,16.0,8.0,10.0,3.0,6.0,2.0,7.0,6.0,0.0,1.0,0.0,0.0,356
D1_20260111_BayernMunich_Wolfsburg,2026-01-11,2526,D1,Bundesliga,Wolfsburg,Bayern Munich,AWAY,0,1,8,-7,L,0,0,0,1,1,0,1,1,8.0,16.0,3.0,10.0,2.0,6.0,6.0,7.0,1.0,0.0,0.0,0.0,356
D1_20260111_Mgladbach_Augsburg,2026-01-11,2526,D1,Bundesliga,M'gladbach,Augsburg,HOME,1,4,0,4,W,3,1,0,0,1,1,1,0,12.0,17.0,7.0,2.0,2.0,2.0,16.0,9.0,0.0,1.0,0.0,0.0,356
D1_20260111_Mgladbach_Augsburg,2026-01-11,2526,D1,Bundesliga,Augsburg,M'gladbach,AWAY,0,0,4,-4,L,0,0,0,1,0,0,1,0,17.0,12.0,2.0,7.0,2.0,2.0,9.0,16.0,1.0,0.0,0.0,0.0,356
N1_20260111_GoAheadEagles_ForSittard,2026-01-11,2526,N1,Eredivisie,Go Ahead Eagles,For Sittard,HOME,1,2,2,0,D,1,0,1,0,1,0,1,1,23.0,12.0,8.0,5.0,9.0,1.0,10.0,9.0,0.0,1.0,0.0,0.0,188
N1_20260111_GoAheadEagles_ForSittard,2026-01-11,2526,N1,Eredivisie,For Sittard,Go Ahead Eagles,AWAY,0,2,2,0,D,1,0,1,0,1,0,1,1,12.0,23.0,5.0,8.0,1.0,9.0,9.0,10.0,1.0,0.0,0.0,0.0,248
N1_20260111_Heerenveen_Feyenoord,2026-01-11,2526,N1,Eredivisie,Heerenveen,Feyenoord,HOME,1,2,2,0,D,1,0,1,0,1,0,1,1,16.0,7.0,7.0,3.0,5.0,3.0,11.0,6.0,1.0,0.0,0.0,0.0,350
N1_20260111_Heerenveen_Feyenoord,2026-01-11,2526,N1,Eredivisie,Feyenoord,Heerenveen,AWAY,0,2,2,0,D,1,0,1,0,1,0,1,1,7.0,16.0,3.0,7.0,3.0,5.0,6.0,11.0,0.0,1.0,0.0,0.0,349
N1_20260111_SpartaRotterdam_Heracles,2026-01-11,2526,N1,Eredivisie,Sparta Rotterdam,Heracles,HOME,1,2,0,2,W,3,1,0,0,1,1,0,0,22.0,6.0,9.0,2.0,9.0,5.0,6.0,16.0,1.0,3.0,0.0,0.0,282
N1_20260111_SpartaRotterdam_Heracles,2026-01-11,2526,N1,Eredivisie,Heracles,Sparta Rotterdam,AWAY,0,0,2,-2,L,0,0,0,1,0,0,0,0,6.0,22.0,2.0,9.0,5.0,9.0,16.0,6.0,3.0,1.0,0.0,0.0,316
N1_20260111_Telstar_Ajax,2026-01-11,2526,N1,Eredivisie,Telstar,Ajax,HOME,1,2,3,-1,L,0,0,0,1,1,0,1,1,7.0,16.0,3.0,10.0,8.0,3.0,6.0,6.0,1.0,1.0,1.0,0.0,18
N1_20260111_Telstar_Ajax,2026-01-11,2526,N1,Eredivisie,Ajax,Telstar,AWAY,0,3,2,1,W,3,1,0,0,1,0,1,1,16.0,7.0,10.0,3.0,3.0,8.0,6.0,6.0,1.0,1.0,0.0,1.0,349
D1_20260113_Dortmund_WerderBremen,2026-01-13,2526,D1,Bundesliga,Dortmund,Werder Bremen,HOME,1,3,0,3,W,3,1,0,0,1,1,1,0,18.0,6.0,8.0,3.0,3.0,3.0,14.0,8.0,2.0,0.0,0.0,0.0,357
D1_20260113_Dortmund_WerderBremen,2026-01-13,2526,D1,Bundesliga,Werder Bremen,Dortmund,AWAY,0,0,3,-3,L,0,0,0,1,0,0,1,0,6.0,18.0,3.0,8.0,3.0,3.0,8.0,14.0,0.0,2.0,0.0,0.0,322
D1_20260113_Mainz_Heidenheim,2026-01-13,2526,D1,Bundesliga,Mainz,Heidenheim,HOME,1,2,1,1,W,3,1,0,0,1,0,1,1,13.0,15.0,6.0,4.0,4.0,1.0,11.0,10.0,2.0,2.0,0.0,0.0,357
D1_20260113_Mainz_Heidenheim,2026-01-13,2526,D1,Bundesliga,Heidenheim,Mainz,AWAY,0,1,2,-1,L,0,0,0,1,1,0,1,1,15.0,13.0,4.0,6.0,1.0,4.0,10.0,11.0,2.0,2.0,0.0,0.0,85
D1_20260113_Stuttgart_EinFrankfurt,2026-01-13,2526,D1,Bundesliga,Stuttgart,Ein Frankfurt,HOME,1,3,2,1,W,3,1,0,0,1,0,1,1,20.0,12.0,11.0,5.0,10.0,2.0,8.0,15.0,2.0,2.0,0.0,0.0,289
D1_20260113_Stuttgart_EinFrankfurt,2026-01-13,2526,D1,Bundesliga,Ein Frankfurt,Stuttgart,AWAY,0,2,3,-1,L,0,0,0,1,1,0,1,1,12.0,20.0,5.0,11.0,2.0,10.0,15.0,8.0,2.0,2.0,0.0,0.0,357
D1_20260114_FCKoln_BayernMunich,2026-01-14,2526,D1,Bundesliga,FC Koln,Bayern Munich,HOME,1,1,3,-2,L,0,0,0,1,1,0,1,1,8.0,19.0,3.0,8.0,4.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,289
D1_20260114_FCKoln_BayernMunich,2026-01-14,2526,D1,Bundesliga,Bayern Munich,FC Koln,AWAY,0,3,1,2,W,3,1,0,0,1,0,1,1,19.0,8.0,8.0,3.0,6.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,357
D1_20260114_Hoffenheim_Mgladbach,2026-01-14,2526,D1,Bundesliga,Hoffenheim,M'gladbach,HOME,1,5,1,4,W,3,1,0,0,1,0,1,1,18.0,7.0,10.0,5.0,6.0,2.0,16.0,10.0,1.0,1.0,0.0,0.0,356
D1_20260114_Hoffenheim_Mgladbach,2026-01-14,2526,D1,Bundesliga,M'gladbach,Hoffenheim,AWAY,0,1,5,-4,L,0,0,0,1,1,0,1,1,7.0,18.0,5.0,10.0,2.0,6.0,10.0,16.0,1.0,1.0,0.0,0.0,357
D1_20260114_RBLeipzig_Freiburg,2026-01-14,2526,D1,Bundesliga,RB Leipzig,Freiburg,HOME,1,2,0,2,W,3,1,0,0,1,1,0,0,21.0,3.0,7.0,1.0,7.0,2.0,12.0,16.0,0.0,4.0,0.0,0.0,322
D1_20260114_RBLeipzig_Freiburg,2026-01-14,2526,D1,Bundesliga,Freiburg,RB Leipzig,AWAY,0,0,2,-2,L,0,0,0,1,0,0,0,0,3.0,21.0,1.0,7.0,2.0,7.0,16.0,12.0,4.0,0.0,0.0,0.0,323
D1_20260114_Wolfsburg_StPauli,2026-01-14,2526,D1,Bundesliga,Wolfsburg,St Pauli,HOME,1,2,1,1,W,3,1,0,0,1,0,1,1,13.0,9.0,5.0,4.0,7.0,4.0,10.0,9.0,1.0,2.0,0.0,0.0,357
D1_20260114_Wolfsburg_StPauli,2026-01-14,2526,D1,Bundesliga,St Pauli,Wolfsburg,AWAY,0,1,2,-1,L,0,0,0,1,1,0,1,1,9.0,13.0,4.0,5.0,4.0,7.0,9.0,10.0,2.0,1.0,0.0,0.0,50
D1_20260115_Augsburg_UnionBerlin,2026-01-15,2526,D1,Bundesliga,Augsburg,Union Berlin,HOME,1,1,1,0,D,1,0,1,0,1,0,0,1,9.0,16.0,5.0,3.0,3.0,3.0,9.0,18.0,1.0,0.0,0.0,1.0,357
D1_20260115_Augsburg_UnionBerlin,2026-01-15,2526,D1,Bundesliga,Union Berlin,Augsburg,AWAY,0,1,1,0,D,1,0,1,0,1,0,0,1,16.0,9.0,3.0,5.0,3.0,3.0,18.0,9.0,0.0,1.0,1.0,0.0,221
B1_20260116_ClubBrugge_RAALLaLouviere,2026-01-16,2526,B1,Belgian Pro League,Club Brugge,RAAL La Louviere,HOME,1,2,3,-1,L,0,0,0,1,1,0,1,1,11.0,14.0,6.0,5.0,2.0,7.0,9.0,11.0,0.0,3.0,1.0,0.0,352
B1_20260116_ClubBrugge_RAALLaLouviere,2026-01-16,2526,B1,Belgian Pro League,RAAL La Louviere,Club Brugge,AWAY,0,3,2,1,W,3,1,0,0,1,0,1,1,14.0,11.0,5.0,6.0,7.0,2.0,11.0,9.0,3.0,0.0,0.0,1.0,21
D1_20260116_WerderBremen_EinFrankfurt,2026-01-16,2526,D1,Bundesliga,Werder Bremen,Ein Frankfurt,HOME,1,3,3,0,D,1,0,1,0,1,0,1,1,13.0,8.0,4.0,4.0,4.0,1.0,8.0,15.0,1.0,4.0,0.0,0.0,323
D1_20260116_WerderBremen_EinFrankfurt,2026-01-16,2526,D1,Bundesliga,Ein Frankfurt,Werder Bremen,AWAY,0,3,3,0,D,1,0,1,0,1,0,1,1,8.0,13.0,4.0,4.0,1.0,4.0,15.0,8.0,4.0,1.0,0.0,0.0,358
E1_20260116_WestBrom_Middlesbrough,2026-01-16,2526,E1,Championship,West Brom,Middlesbrough,HOME,1,2,3,-1,L,0,0,0,1,1,0,1,1,12.0,9.0,6.0,5.0,4.0,1.0,11.0,4.0,2.0,0.0,0.0,0.0,303
E1_20260116_WestBrom_Middlesbrough,2026-01-16,2526,E1,Championship,Middlesbrough,West Brom,AWAY,0,3,2,1,W,3,1,0,0,1,0,1,1,9.0,12.0,5.0,6.0,1.0,4.0,4.0,11.0,0.0,2.0,0.0,0.0,441
B1_20260117_StGilloise_Mechelen,2026-01-17,2526,B1,Belgian Pro League,St. Gilloise,Mechelen,HOME,1,1,0,1,W,3,1,0,0,1,1,0,0,15.0,4.0,6.0,1.0,7.0,0.0,16.0,13.0,4.0,2.0,0.0,0.0,169
B1_20260117_StGilloise_Mechelen,2026-01-17,2526,B1,Belgian Pro League,Mechelen,St. Gilloise,AWAY,0,0,1,-1,L,0,0,0,1,0,0,0,0,4.0,15.0,1.0,6.0,0.0,7.0,13.0,16.0,2.0,4.0,0.0,0.0,322
B1_20260117_Waregem_Genk,2026-01-17,2526,B1,Belgian Pro League,Waregem,Genk,HOME,1,2,1,1,W,3,1,0,0,1,0,1,1,22.0,7.0,10.0,5.0,4.0,0.0,9.0,14.0,2.0,2.0,0.0,0.0,272
B1_20260117_Waregem_Genk,2026-01-17,2526,B1,Belgian Pro League,Genk,Waregem,AWAY,0,1,2,-1,L,0,0,0,1,1,0,1,1,7.0,22.0,5.0,10.0,0.0,4.0,14.0,9.0,2.0,2.0,0.0,0.0,353
